dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,seed,method,accuracy,ece_percent,adaptive_ece_percent,brier,auroc
ai2d,m3,3,36,36,46,36,45,Temperature Scaling (TS),56.99999999999999,9.584064391220952,12.733523953927037,0.25044632033572367,0.6168655650754793
ai2d,m3,3,36,36,46,36,45,Platt Scaling (1D),56.99999999999999,6.932057896224567,9.758225514538092,0.23727812964568057,0.6168655650754793
ai2d,m3,3,36,36,46,46,45,Trajectory Platt (5D),56.99999999999999,7.48351464793086,11.675652246922255,0.23513427649960328,0.636296409628723
ai2d,m3,3,36,36,46,36,46,Naive Confidence (NC),56.99999999999999,42.99898560317249,42.99898560317249,0.42998540758739834,0.6556762545899633
ai2d,m3,3,36,36,46,36,46,Temperature Scaling (TS),56.99999999999999,9.863927686212007,13.575265781373133,0.24936420393949071,0.6556762545899633
ai2d,m3,3,36,36,46,36,46,Platt Scaling (1D),56.99999999999999,4.566022971926246,6.9911869666579225,0.22812762008872298,0.6556762545899633
ai2d,m3,3,36,36,46,46,46,Trajectory Platt (5D),56.99999999999999,5.482841696590186,6.117800112813712,0.2272252744659163,0.6605084659322725
ai2d,m3,4,144,144,190,144,42,Naive Confidence (NC),56.49999999999999,43.49847461304704,43.49847461304703,0.4349757971019808,0.672693520496389
ai2d,m3,4,144,144,190,144,42,Temperature Scaling (TS),56.49999999999999,11.182490490356594,12.213357167979304,0.24925318239295544,0.672693520496389
ai2d,m3,4,144,144,190,144,42,Platt Scaling (1D),56.49999999999999,4.858183096912135,6.044025490065401,0.22373556162319377,0.672693520496389
ai2d,m3,4,144,144,190,190,42,Trajectory Platt (5D),56.49999999999999,5.747703254222871,7.494928054511549,0.22360896109906633,0.6805258874987284
ai2d,m3,4,144,144,190,144,43,Naive Confidence (NC),56.49999999999999,43.49802167156067,43.498021671560664,0.4349717380600421,0.6672388363340453
ai2d,m3,4,144,144,190,144,43,Temperature Scaling (TS),56.49999999999999,10.248164091662968,14.852718129006936,0.2505015186361834,0.6672388363340453
ai2d,m3,4,144,144,190,144,43,Platt Scaling (1D),56.49999999999999,5.221335024781514,8.490417044783161,0.22791578535268253,0.6672388363340453
ai2d,m3,4,144,144,190,190,43,Trajectory Platt (5D),56.49999999999999,5.834723930805922,8.216384392231705,0.22222824986169062,0.6901891974366798
ai2d,m3,4,144,144,190,144,44,Naive Confidence (NC),56.49999999999999,43.49600209931774,43.496002099317735,0.4349342777433296,0.6557064388159902
