dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,method,accuracy_mean,accuracy_std,ece_percent_mean,ece_percent_std,adaptive_ece_percent_mean,adaptive_ece_percent_std,brier_mean,brier_std,auroc_mean,auroc_std
vllm-safety,mqt,3,36,36,46,36,Temperature Scaling (TS),33.421052631578945,0.0,15.338218792711976,1.5883084862633765,15.34331537269406,1.3999990851814326,0.19539137188798095,0.004657034004802552,0.793296193707012,0.022919888320195262
vllm-safety,mqt,3,36,36,46,46,Trajectory Platt (5D),33.421052631578945,0.0,6.542546549517857,0.9308761346557777,6.873203764228444,1.0840391679848171,0.17752165407341938,0.004704726482831635,0.7745852914630731,0.020417800823390484
vllm-safety,mqt,4,144,144,190,144,Naive Confidence (NC),33.68421052631579,0.0,10.652630905571737,2.410905228287451,10.676906136697843,1.5634216378196475,0.18360712462128337,0.007864727766379993,0.7960348462301587,0.012563027634708053
vllm-safety,mqt,4,144,144,190,144,Platt Scaling (1D),33.68421052631579,0.0,12.467389572526416,2.120878034312775,13.139620443773262,1.7024643052527013,0.1874605737712159,0.0037747359294202105,0.7960348462301587,0.012563027634708053
vllm-safety,mqt,4,144,144,190,144,Temperature Scaling (TS),33.68421052631579,0.0,15.525839975803986,1.5702263337059172,16.17275570802437,1.7308811560843793,0.19829284798399277,0.0034256534360325767,0.7960348462301587,0.012563027634708053
vllm-safety,mqt,4,144,144,190,190,Trajectory Platt (5D),33.68421052631579,0.0,6.1683638619357035,1.0290605949452247,6.956658930566749,0.5449009069918289,0.17645699018808575,0.0037720877652726815,0.7823722718253967,0.014298644765206163
vllm-safety,mqt,5,256,256,446,256,Naive Confidence (NC),33.94736842105263,0.0,10.439454023187098,1.474174617641873,10.35288469591423,0.618879218802808,0.1917968341920279,0.00912502293335776,0.7759041353963989,0.018747697968310086
vllm-safety,mqt,5,256,256,446,256,Platt Scaling (1D),33.94736842105263,0.0,12.471872784870374,1.600736070411815,12.199640202987803,1.1556236063181107,0.19295393793061785,0.0044907278383387525,0.7759041353963989,0.018747697968310086
vllm-safety,mqt,5,256,256,446,256,Temperature Scaling (TS),33.94736842105263,0.0,16.346325794019627,1.814380947531178,16.125883325849806,1.0492247284350047,0.20504006860777543,0.0031776850504879424,0.7759041353963989,0.018747697968310086
vllm-safety,mqt,5,256,256,446,446,Trajectory Platt (5D),33.94736842105263,0.0,5.901562451139877,0.46891380248240927,6.959925364114736,0.5135416838286547,0.17965923870559058,0.01083515182293313,0.7691343154513728,0.028821554258983074
