arch,budget,method,ada_ece_mean,ada_ece_std,ece_mean,ece_std,auroc_mean,auroc_std,brier_mean,brier_std,sample_size_mean,budget_order,method_order
m3,500,VCPS-5D (Our Method),6.199786668050509,0.2950748218490839,4.577112280791791,0.29440169935142946,0.6904018061568327,0.001263239483019055,0.13439418380663165,0.00023648133388934944,500.0,3,4
m3,1000,Naive Confidence (NC),40.46971884789466,0.0,40.43319176340998,0.0,0.6648974175389418,0.0,0.39726096913102876,0.0,968.9285714285713,4,0
m3,1000,Temperature Scaling (TS),22.80660213336766,0.021075150468977972,21.791187543620598,0.06703148078666085,0.6648974175389418,0.0,0.22155766978924216,3.861695502636068e-05,968.9285714285713,4,1
m3,1000,Platt Scaling (1D),5.854593186066189,0.06294164082118615,3.8807679718155983,0.1280362123591715,0.6892009894783158,0.0011047252025014119,0.13655969622259354,0.00010834058341237797,968.9285714285713,4,2
m3,1000,Trajectory Platt (5D),5.990240037181544,0.08254039276410417,4.500347378781754,0.14607416657558225,0.7083607577081271,0.00324353780540257,0.1342995555915245,0.0004120207599317213,968.9285714285713,4,3
m3,1000,VCPS-5D (Our Method),5.914978576779317,0.1359739754782299,4.08674309305813,0.1025607203977971,0.6913010292753671,0.0006165783257059839,0.1341244990686388,0.0002928609011935156,968.9285714285713,4,4
m3,1500,Naive Confidence (NC),40.46971884789466,0.0,40.43319176340998,0.0,0.6648974175389418,0.0,0.39726096913102876,0.0,1381.5,5,0
m3,1500,Temperature Scaling (TS),22.806513326849085,0.008102154999986452,21.840538493091522,0.03626945449593569,0.6648974175389418,0.0,0.22155633052277318,2.048429557537107e-05,1381.5,5,1
m3,1500,Platt Scaling (1D),5.828263227473792,0.006572276994271462,3.8899012671871693,0.09997016004267625,0.6887069413484657,0.0,0.13658963102747548,5.3646386523579075e-05,1381.5,5,2
m3,1500,Trajectory Platt (5D),6.098922508322372,0.12342976922923762,4.656600656883255,0.09639901282229595,0.7098684520021552,0.0008403093372533739,0.13405554547278048,8.232551783603078e-05,1381.5,5,3
m3,1500,VCPS-5D (Our Method),6.1619917449264285,0.07805820128614124,4.265167734493882,0.06800654645514287,0.691244867086582,0.00041860045890288806,0.13429648826446403,2.3108917240493164e-05,1381.5,5,4
m3,Full,Naive Confidence (NC),40.46971884789466,0.0,40.43319176340998,0.0,0.6648974175389418,0.0,0.39726096913102876,0.0,1460.0714285714287,6,0
m3,Full,Temperature Scaling (TS),22.811182020254535,0.0,21.918782344367177,0.0,0.6648974175389418,0.0,0.2215526323481945,0.0,1460.0714285714287,6,1
m3,Full,Platt Scaling (1D),5.829762828363179,0.0,3.9730655957126535,0.0,0.6887069413484657,0.0,0.13657937292406636,0.0,1460.0714285714287,6,2
m3,Full,Trajectory Platt (5D),6.096746687046381,0.0,4.805500778259465,0.0,0.7099968868393568,0.0,0.13403694018067622,0.0,1460.0714285714287,6,3
m3,Full,VCPS-5D (Our Method),6.303518418116288,0.0,4.243228526765633,0.0,0.6910809781296897,0.0,0.13428880480846886,0.0,1460.0714285714287,6,4
