dataset,arch,budget,effective_n,is_capped,seed,method,adaptive_ece_percent,ece_percent,auroc,brier,adaptive_ece,ece
infographicvqa,m3,50,50,False,43,Naive Confidence (NC),85.32299963012339,85.32299963012338,0.3333333333333333,0.7760739349223753,0.853229996301234,0.8532299963012338
infographicvqa,m3,50,50,False,43,Temperature Scaling (TS),54.00419476757944,54.00419476757943,0.3333333333333333,0.30059560595637635,0.5400419476757944,0.5400419476757943
infographicvqa,m3,50,50,False,43,Platt Scaling (1D),1.7862550533217658,1.2019897880603447,0.6666666666666666,0.0076909488928551175,0.01786255053321766,0.012019897880603448
infographicvqa,m3,50,50,False,43,Trajectory Platt (5D),1.642369266890455,0.8930147656355987,0.5407220822837951,0.007587716920935779,0.01642369266890455,0.008930147656355986
infographicvqa,m3,50,50,False,43,VCPS-5D (Our Method),2.014456963529156,1.2546466281405482,0.36775818639798485,0.007628079043089011,0.02014456963529156,0.012546466281405481
infographicvqa,m3,50,50,False,44,Naive Confidence (NC),85.32299963012339,85.32299963012338,0.3333333333333333,0.7760739349223753,0.853229996301234,0.8532299963012338
infographicvqa,m3,50,50,False,44,Temperature Scaling (TS),54.00419476757944,54.00419476757943,0.3333333333333333,0.30059560595637635,0.5400419476757944,0.5400419476757943
infographicvqa,m3,50,50,False,44,Platt Scaling (1D),1.4488224438061204,0.8297534502715371,0.6666666666666666,0.00756536846720915,0.014488224438061203,0.008297534502715372
infographicvqa,m3,50,50,False,44,Trajectory Platt (5D),2.1121163683055784,1.4509274179945348,0.6120906801007557,0.00864265367228172,0.021121163683055784,0.01450927417994535
infographicvqa,m3,50,50,False,44,VCPS-5D (Our Method),2.009811751153592,1.2989094374880015,0.4214945424013433,0.007635228240400435,0.020098117511535916,0.012989094374880016
infographicvqa,m3,50,50,False,45,Naive Confidence (NC),85.32299963012339,85.32299963012338,0.3333333333333333,0.7760739349223753,0.853229996301234,0.8532299963012338
infographicvqa,m3,50,50,False,45,Temperature Scaling (TS),54.00419476757944,54.00419476757943,0.3333333333333333,0.30059560595637635,0.5400419476757944,0.5400419476757943
infographicvqa,m3,50,50,False,45,Platt Scaling (1D),1.899866041592891,1.0533747500941075,0.6666666666666666,0.007556968611203205,0.01899866041592891,0.010533747500941076
infographicvqa,m3,50,50,False,45,Trajectory Platt (5D),1.6385642290115354,1.1261911606416108,0.635600335852225,0.00756522447870938,0.016385642290115354,0.011261911606416108
infographicvqa,m3,50,50,False,45,VCPS-5D (Our Method),2.016679227256274,1.2787796379235798,0.34760705289672544,0.007632141422533592,0.020166792272562743,0.0127877963792358
infographicvqa,m3,50,50,False,46,Naive Confidence (NC),85.32299963012339,85.32299963012338,0.3333333333333333,0.7760739349223753,0.853229996301234,0.8532299963012338
infographicvqa,m3,50,50,False,46,Temperature Scaling (TS),54.00419476757944,54.00419476757943,0.3333333333333333,0.30059560595637635,0.5400419476757944,0.5400419476757943
infographicvqa,m3,50,50,False,46,Platt Scaling (1D),2.4474354730076024,1.9580616744875803,0.6666666666666666,0.008413875148211174,0.024474354730076024,0.019580616744875802
