dataset,arch,budget,effective_n,is_capped,seed,method,adaptive_ece_percent,ece_percent,auroc,brier,adaptive_ece,ece
mmmu,mqt,1000,685,True,43,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1000,685,True,43,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1000,685,True,43,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1000,685,True,43,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,1000,685,True,44,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,1000,685,True,44,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1000,685,True,44,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1000,685,True,44,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1000,685,True,44,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,1000,685,True,45,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,1000,685,True,45,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1000,685,True,45,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1000,685,True,45,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1000,685,True,45,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,1000,685,True,46,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,1000,685,True,46,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1000,685,True,46,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1000,685,True,46,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1000,685,True,46,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,1500,685,True,42,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,1500,685,True,42,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1500,685,True,42,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1500,685,True,42,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1500,685,True,42,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,1500,685,True,43,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,1500,685,True,43,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1500,685,True,43,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1500,685,True,43,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1500,685,True,43,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,1500,685,True,44,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,1500,685,True,44,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1500,685,True,44,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1500,685,True,44,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1500,685,True,44,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,1500,685,True,45,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,1500,685,True,45,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1500,685,True,45,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1500,685,True,45,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1500,685,True,45,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,1500,685,True,46,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,1500,685,True,46,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,1500,685,True,46,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,1500,685,True,46,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,1500,685,True,46,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,Full,685,True,42,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,Full,685,True,42,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,Full,685,True,42,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,Full,685,True,42,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,Full,685,True,42,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,Full,685,True,43,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,Full,685,True,43,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,Full,685,True,43,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,Full,685,True,43,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,Full,685,True,43,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,Full,685,True,44,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,Full,685,True,44,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,Full,685,True,44,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,Full,685,True,44,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,Full,685,True,44,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,Full,685,True,45,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,Full,685,True,45,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,Full,685,True,45,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,Full,685,True,45,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,Full,685,True,45,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
mmmu,mqt,Full,685,True,46,Naive Confidence (NC),52.240524428008605,52.240524428008605,0.31470588235294117,0.3669483455024958,0.5224052442800861,0.5224052442800861
mmmu,mqt,Full,685,True,46,Temperature Scaling (TS),49.31810870233828,49.31810870233828,0.31470588235294117,0.25556138201678297,0.49318108702338276,0.4931810870233828
mmmu,mqt,Full,685,True,46,Platt Scaling (1D),2.1358841370083774,0.15583689721625962,0.31470588235294117,0.011516184766006736,0.021358841370083773,0.0015583689721625962
mmmu,mqt,Full,685,True,46,Trajectory Platt (5D),2.041928707161745,0.2296839094839903,0.7235294117647059,0.011611726044979285,0.02041928707161745,0.002296839094839903
mmmu,mqt,Full,685,True,46,VCPS-5D (Our Method),2.1452032032600266,0.14948429123070264,0.3647058823529412,0.01151465697298761,0.021452032032600266,0.0014948429123070265
pope,mqt,50,50,False,42,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
pope,mqt,50,50,False,42,Temperature Scaling (TS),7.384501253460252,7.129453669604041,0.8756171364867017,0.0934277607892092,0.07384501253460252,0.07129453669604041
pope,mqt,50,50,False,42,Platt Scaling (1D),7.734099971450154,7.1065444227879695,0.8756171364867017,0.0950513041494644,0.07734099971450153,0.07106544422787969
pope,mqt,50,50,False,42,Trajectory Platt (5D),6.624452699688159,4.5281744582526,0.78659022137283,0.1087747337892454,0.06624452699688159,0.045281744582526
pope,mqt,50,50,False,42,VCPS-5D (Our Method),6.8422219181792086,6.778772664663463,0.8665392578436056,0.09468424068585057,0.06842221918179209,0.06778772664663463
pope,mqt,50,50,False,43,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
pope,mqt,50,50,False,43,Temperature Scaling (TS),4.236463740558801,3.9264010074107647,0.8756171364867017,0.08998698143481303,0.042364637405588004,0.039264010074107646
pope,mqt,50,50,False,43,Platt Scaling (1D),7.994499084507985,8.22646464722688,0.8756171364867017,0.10139436420629079,0.07994499084507985,0.0822646464722688
pope,mqt,50,50,False,43,Trajectory Platt (5D),6.490252888688473,7.245788734908388,0.8467908902691511,0.1043661915056469,0.06490252888688473,0.07245788734908387
pope,mqt,50,50,False,43,VCPS-5D (Our Method),9.874874769895447,10.507794659446814,0.8759356585443542,0.11554469488371356,0.09874874769895448,0.10507794659446813
pope,mqt,50,50,False,44,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
pope,mqt,50,50,False,44,Temperature Scaling (TS),4.561302779943914,2.7108416532660407,0.8756171364867017,0.08987245646660494,0.04561302779943914,0.02710841653266041
pope,mqt,50,50,False,44,Platt Scaling (1D),4.955997968085619,3.928285853344921,0.8756171364867017,0.09052586531527991,0.04955997968085619,0.03928285853344921
pope,mqt,50,50,False,44,Trajectory Platt (5D),6.944111830388488,6.039429364906953,0.8264054785793916,0.09706070800325599,0.06944111830388489,0.06039429364906953
pope,mqt,50,50,False,44,VCPS-5D (Our Method),6.249434805271299,6.192486578117168,0.8663799968147795,0.09458726703508528,0.06249434805271299,0.06192486578117168
pope,mqt,50,50,False,45,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
